MZ	Intensity	Abundance
100.03064	831.269592	1
100.693587	762.644104	1
103.903286	730.169373	1
104.531834	797.041687	1
105.232559	949.385071	1
107.741295	757.038269	1
107.769402	782.199036	1
108.370081	879.906311	1
108.769755	740.341003	1
109.385096	796.314636	1
110.670251	718.209045	1
110.88988	746.399963	1
112.177477	736.128235	1
113.361423	696.363342	1
114.63305	794.212463	1
115.478735	747.136536	1
118.163661	879.94342	1
119.023026	864.089172	1
119.674089	807.925476	1
120.068337	789.634705	1
120.195207	824.31073	1
121.852814	856.718811	1
122.604431	737.044861	1
123.008363	949.681335	1
126.531532	899.640686	1
127.685713	680.236389	1
128.130655	838.673157	1
129.346848	893.523254	1
130.875823	778.426453	1
133.013878	8140.856934	6
133.549944	747.621033	1
134.046731	5109.345703	4
134.286021	754.632385	1
134.640994	845.153503	1
134.894605	974.138611	1
136.096049	834.018738	1
137.526358	934.903748	1
137.850527	727.700745	1
138.228641	876.166809	1
138.973762	1672.859375	1
138.977786	1885.705811	1
138.979953	45019.88281	33
143.718422	935.742493	1
144.869145	876.327576	1
150.239434	681.612854	1
150.869052	741.054382	1
151.804315	688.828857	1
152.190221	802.821472	1
154.490415	736.384949	1
154.897906	721.775574	1
155.866897	724.004456	1
155.897784	810.891174	1
156.833505	925.955139	1
158.239987	878.187195	1
158.924781	5556.161621	4
158.964911	680.400818	1
160.841358	2821.661377	2
161.973013	772.366028	1
162.838345	2096.274414	2
164.835565	1397.246338	1
164.898356	890.087341	1
165.999204	760.014587	1
167.011163	1139.635742	1
171.954037	765.444031	1
173.472955	957.230286	1
173.742629	766.638367	1
174.979285	871.494568	1
176.935406	1047.391602	1
177.711203	706.236267	1
179.066127	839.039368	1
180.948271	1147.272217	1
182.734175	1100.553955	1
184.316668	1493.076904	1
184.318559	929.916809	1
184.875804	2475.822266	2
186.865012	3157.638672	2
188.861978	2373.859375	2
191.194447	818.672546	1
192.990127	1891.263672	1
193.896448	936.287048	1
195.810115	825.359802	1
197.807431	2353.218018	2
200.201026	947.621643	1
200.906649	2218.953857	2
204.223117	754.940857	1
209.658447	833.569885	1
211.000652	4091.327148	3
212.902908	1916.901367	1
214.001737	750.980164	1
220.236269	874.444397	1
