Score1	Score2	Pearson
Spectral Similarity Score	Spectral Similarity Score	1
Spectral Similarity Score	Weighted Cosine Correlation	0.62949978864398
Spectral Similarity Score	Cosine Correlation	1
Spectral Similarity Score	Stein Scott Similarity	0.553763430136555
Spectral Similarity Score	Stein Scott Similarity Nist	0.667035026109986
Spectral Similarity Score	Pearson Correlation	0.994240511869864
Spectral Similarity Score	Spearman Correlation	0.585269580111267
Spectral Similarity Score	Kendall Tau Correlation	0.583382199154691
Spectral Similarity Score	Euclidean Distance	-0.773018575065925
Spectral Similarity Score	Manhattan Distance	-0.40738924944572
Spectral Similarity Score	Jaccard Distance	-0.981547959310058
Spectral Similarity Score	DWT Correlation	0.851161823536005
Spectral Similarity Score	DFT Correlation	0.817315393181583
Spectral Similarity Score	Chebyshev Distance	-0.737106901453709
Spectral Similarity Score	Squared Euclidean Distance	-0.703078886176897
Spectral Similarity Score	Fidelity Similarity	0.753445044882394
Spectral Similarity Score	Matusita Distance	-0.546228671188781
Spectral Similarity Score	Squared-chord Distance	-0.499573582670126
Spectral Similarity Score	Harmonic mean Distance	0.809518668523068
Spectral Similarity Score	Pearson Chi Squared Distance	-0.153849318324879
Spectral Similarity Score	Neyman Chi Squared Distance	-0.465610995921443
Spectral Similarity Score	Probabilistic symmetric X2 Distance	-0.472148656314304
Spectral Similarity Score	Topsoe Distance	-0.486104840681882
Spectral Similarity Score	Chernoff Distance	-0.642227158085514
Spectral Similarity Score	Ruzicka Distance	-0.921902882394481
Spectral Similarity Score	Roberts Distance	-0.954073267355957
Spectral Similarity Score	Motyka Distance	0.948094411757164
Spectral Similarity Score	Canberra Distance	0.0720085432565377
Spectral Similarity Score	Canberra Metric	-0.542408246559719
Spectral Similarity Score	Kulczynski 1 Distance	-0.0981131476912859
Spectral Similarity Score	Lorentzian Distance	-0.349082966682125
Spectral Similarity Score	Clark Distance	0.0521036116971921
Spectral Similarity Score	Hellinger Distance	-0.546228671188715
Spectral Similarity Score	Whittaker index of association Distance	-0.197346348138426
Spectral Similarity Score	Spectral Contrast Angle	-0.994237576980025
Spectral Similarity Score	Wave Hedges Distance	0.0877745399330825
Spectral Similarity Score	Dice Similarity	0.998913972844617
Spectral Similarity Score	Inner Product Distance	-0.937163963712661
Spectral Similarity Score	Divergence Distance	0.0491637022792386
Spectral Similarity Score	Jensen Differences Distance	-0.486104840681882
Spectral Similarity Score	Kumar Johnson Distance	-0.118143855042801
Spectral Similarity Score	Avg (L1, L8) Distance	-0.440059925887725
Spectral Similarity Score	Vicis Wave Hadges Distance	-0.108463819249565
Spectral Similarity Score	Vicis-Symmetric X2 1 Distance	-0.0957548992349435
Spectral Similarity Score	Vicis-Symmetric X2 2 Distance	-0.154006914210645
Spectral Similarity Score	Vicis-Symmetric X2 3 Distance	-0.455570964084425
Spectral Similarity Score	Max Symmetric Chi Squared Distance	-0.153849491521567
Spectral Similarity Score	Min Symmetric Chi Squared Distance	-0.466136904304728
Spectral Similarity Score	Additive Symmetric Chi Squared	-0.154006914210645
Spectral Similarity Score	Battacharya Distance	-0.481444752831274
Spectral Similarity Score	Generalized Ochai Index	-0.955179295583839
Spectral Similarity Score	Gower Distance	-0.492478556127036
Spectral Similarity Score	Improved Square Root Cosine Similarity	0.599828668603839
Spectral Similarity Score	Intersection Similarity	0.846316062405171
Spectral Similarity Score	J Divergence	-0.510742066119884
Spectral Similarity Score	Jensen Shannon Index	-0.486104840681882
Spectral Similarity Score	K Divergence	-0.328246444345297
Spectral Similarity Score	VW6	-0.466136904304728
Spectral Similarity Score	VW5	-0.153849491521567
Spectral Similarity Score	VW4	-0.455570964084425
Spectral Similarity Score	VW3	-0.154006914210645
Spectral Similarity Score	VW2	-0.0957548992349435
Spectral Similarity Score	VW1	-0.108463819249565
Spectral Similarity Score	Taneja Divergence	-0.509921019162484
Spectral Similarity Score	Symmetric Chi Squared Distance	-0.108463819249565
Spectral Similarity Score	Squared Chi Squared Distance	-0.472148656314303
Spectral Similarity Score	Square Root Cosine Correlation	0.781636081194779
Spectral Similarity Score	Sorensen Distance	-0.948094411757164
Spectral Similarity Score	Minokowski 3 Distance	-0.86205785116068
Spectral Similarity Score	Minokowski 4 Distance	-0.874740167350111
Spectral Similarity Score	Kumar Johnson Divergence	-0.118143855042801
Spectral Similarity Score	Kumar Hassebrook Similarity	0.981547959310058
