Score1	Score2	Pearson
Spectral Similarity Score	Spectral Similarity Score	1
Spectral Similarity Score	Weighted Cosine Correlation	0.629499788643729
Spectral Similarity Score	Cosine Correlation	1
Spectral Similarity Score	Stein Scott Similarity	0.553763430137905
Spectral Similarity Score	Stein Scott Similarity Nist	0.66703502611024
Spectral Similarity Score	Pearson Correlation	0.994240511869918
Spectral Similarity Score	Spearman Correlation	0.585269580110372
Spectral Similarity Score	Kendall Tau Correlation	0.58338219915408
Spectral Similarity Score	Euclidean Distance	-0.632958013099252
Spectral Similarity Score	Manhattan Distance	-0.9011388427392
Spectral Similarity Score	Jaccard Distance	-0.969205071882786
Spectral Similarity Score	DWT Correlation	0.851161823535906
Spectral Similarity Score	DFT Correlation	0.817315393181307
Spectral Similarity Score	Chebyshev Distance	-0.478820012830115
Spectral Similarity Score	Squared Euclidean Distance	-0.525629563909492
Spectral Similarity Score	Fidelity Similarity	0.893028171941016
Spectral Similarity Score	Matusita Distance	-0.884270774880041
Spectral Similarity Score	Squared-chord Distance	-0.893028171941263
Spectral Similarity Score	Harmonic mean Distance	0.91213972685061
Spectral Similarity Score	Pearson Chi Squared Distance	-0.116015083469134
Spectral Similarity Score	Neyman Chi Squared Distance	-0.349457196342349
Spectral Similarity Score	Probabilistic symmetric X2 Distance	-0.912139726850517
Spectral Similarity Score	Topsoe Distance	-0.907778792541162
Spectral Similarity Score	Chernoff Distance	-0.696526030031337
Spectral Similarity Score	Ruzicka Distance	-0.872781227001809
Spectral Similarity Score	Roberts Distance	-0.877764947224875
Spectral Similarity Score	Motyka Distance	0.901138842738887
Spectral Similarity Score	Canberra Distance	0.0745416042411193
Spectral Similarity Score	Canberra Metric	-0.503905539446473
Spectral Similarity Score	Kulczynski 1 Distance	-0.0965090933653271
Spectral Similarity Score	Lorentzian Distance	-0.885143652125027
Spectral Similarity Score	Clark Distance	0.0541419443040283
Spectral Similarity Score	Hellinger Distance	-0.884270774880109
Spectral Similarity Score	Whittaker index of association Distance	-0.197346348137969
Spectral Similarity Score	Spectral Contrast Angle	-0.994237576979078
Spectral Similarity Score	Wave Hedges Distance	0.0905424589658493
Spectral Similarity Score	Dice Similarity	0.989518435637933
Spectral Similarity Score	Inner Product Distance	-0.81745563560898
Spectral Similarity Score	Divergence Distance	0.0513494233171656
Spectral Similarity Score	Jensen Differences Distance	-0.907778792538051
Spectral Similarity Score	Kumar Johnson Distance	-0.0600492868712207
Spectral Similarity Score	Avg (L1, L8) Distance	-0.854208351752788
Spectral Similarity Score	Vicis Wave Hadges Distance	-0.0857713754128022
Spectral Similarity Score	Vicis-Symmetric X2 1 Distance	-0.0403576890793744
Spectral Similarity Score	Vicis-Symmetric X2 2 Distance	-0.116390046224635
Spectral Similarity Score	Vicis-Symmetric X2 3 Distance	-0.910601462079039
Spectral Similarity Score	Max Symmetric Chi Squared Distance	-0.116023487893044
Spectral Similarity Score	Min Symmetric Chi Squared Distance	-0.355738423820507
Spectral Similarity Score	Additive Symmetric Chi Squared	-0.116390046224635
Spectral Similarity Score	Battacharya Distance	-0.483491610892346
Spectral Similarity Score	Generalized Ochai Index	-0.901138842739657
Spectral Similarity Score	Gower Distance	-0.428729906951507
Spectral Similarity Score	Improved Square Root Cosine Similarity	0.59982866859195
Spectral Similarity Score	Intersection Similarity	0.901138842739679
Spectral Similarity Score	J Divergence	-0.771434447443535
Spectral Similarity Score	Jensen Shannon Index	-0.907778792538051
Spectral Similarity Score	K Divergence	-0.874525653130425
Spectral Similarity Score	VW6	-0.355738423820507
Spectral Similarity Score	VW5	-0.116023487893044
Spectral Similarity Score	VW4	-0.910601462079039
Spectral Similarity Score	VW3	-0.116390046224635
Spectral Similarity Score	VW2	-0.0403576890793744
Spectral Similarity Score	VW1	-0.0857713754128022
Spectral Similarity Score	Taneja Divergence	-0.762804756936534
Spectral Similarity Score	Symmetric Chi Squared Distance	-0.0857713748270101
Spectral Similarity Score	Squared Chi Squared Distance	-0.912139726850545
Spectral Similarity Score	Square Root Cosine Correlation	0.893028171941016
Spectral Similarity Score	Sorensen Distance	-0.901138842739657
Spectral Similarity Score	Minokowski 3 Distance	-0.548888996147173
Spectral Similarity Score	Minokowski 4 Distance	-0.51836790206174
Spectral Similarity Score	Kumar Johnson Divergence	-0.0600492868712207
