Score	Family	Type	TheoreticalBounds	TheoreticalBounds2	SumCluster	MaxCluster	TStatisticSum	TStatisticMax	Sum_ScoreMin	Sum_ScoreMedian	Sum_ScoreMax	Max_ScoreMin	Max_ScoreMedian	Max_ScoreMax	Overlap_Sum	Overlap_Max
Additive Symmetric Chi Squared	Chi Squared	Distance	Left	"[0, Inf)"	3	2	-52.59717197	-75.29661935	204480027	2.91E+14	3.08E+17	568152911.3	1.59E+15	8.64E+17	0.0917989	0.09216966
"Avg (L1, L8) Distance"	Combination	Distance	Left	"[0, Inf)"	2	4	-432.7986793	-398.1508614	0.0116	0.9695	1.5	0.0258	3.9008	20.0035	0.01609076	0.03010529
Battacharya Distance	Fidelity	Distance	Not	"(-Inf, Inf)"	2	4	-408.8793964	-304.6260687	0.0023	1.1798	15.8811	-2.5572	-0.21	14.9177	0.01394038	0.06102625
Canberra Distance	L1 Distance	Distance	Left	"[0, Inf)"	4	3	-97.58964857	-91.59044588	7.4332	107.6117	465.2669	7.8574	107.6462	467.3437	0.25856444	0.2596767
Canberra Metric	L1 Distance	Similarity	Both	"[0, 1]"	2	4	-219.4945438	-219.468668	0.1499	0.9354	1	0.1553	0.9351	1	0.03915171	0.03514756
Chebyshev Distance	LP Distance	Similarity	Both	"[0, 1]"	2	4	-286.3234113	-256.7701977	0.002	0.2753	1	0.0043	1	1	0.08638588	0.06792229
Chernoff Distance	Fidelity	Distance	Not	"(-Inf, Inf)"	2	4	-460.2479519	-267.0307383	-0.4292	0.8247	3.3161	-3.1507	-0.502	2.8025	0.02550793	0.14689307
Clark Distance	Chi Squared	Distance	Left	"[0, Inf)"	4	3	-110.5048735	-108.1820138	2.1477	10.2154	21.4232	2.2355	10.2188	21.3376	0.23491028	0.23987839
Cosine Correlation	Inner Product	Similarity	Both	"[0, 1]"	1	1	512.3804393	512.3804393	0	0.214	1	0	0.214	1	0.02476642	0.02476642
DFT Correlation	Inner Product	Similarity	Both	"[-1, 1]"	1	1	578.9360778	578.9360778	0	0.1964	0.9983	0	0.1964	0.9983	0.01305057	0.01305057
DWT Correlation	Inner Product	Similarity	Both	"[-1, 1]"	1	1	564.5332802	564.5332802	-0.3561	0.1392	0.9983	-0.3561	0.1392	0.9983	0.01394038	0.01394038
Dice Similarity	Inner Product	Similarity	Both	"[0, 1]"	1	1	499.080447	499.5994117	0	0.1968	1	0	0.2066	1	0.02409907	0.02558209
Divergence Distance	Chi Squared	Distance	Left	"[0, Inf)"	4	3	-107.7530216	-104.8429413	9.2253	208.7098	917.9089	9.9952	208.8464	910.5874	0.23491028	0.23987839
Euclidean Distance	LP Distance	Distance	Left	"[0, Inf)"	2	4	-343.8822411	-363.5309935	0.0036	0.4159	1.2012	0.008	1.6844	4.3837	0.041747	0.0269168
Fidelity Similarity	Fidelity	Distance	Left	"[0, Inf)"	1	1	549.0114774	196.4506449	0	0.3074	0.9977	0	1.2337	12.8993	0.01394038	0.06102625
Generalized Ochai Index	Inner Product	Similarity	Both	"[0, 1]"	2	4	-456.7065348	-475.6452279	0.0106	0.8165	1	0.0103	0.814	1	0.01364378	0.01342133
Gower Distance	L1 Distance	Distance	Left	"[0, Inf)"	2	4	-276.2088859	-370.1034672	1.00E-04	0.0134	0.1429	5.00E-04	0.0585	0.3999	0.09928815	0.05034851
Harmonic mean Distance	Inner Product	Distance	Left	"[0, Inf)"	1	1	528.7175267	207.3839754	0	0.2507	0.9975	0	1.0214	12.71	0.01327302	0.04293341
Hellinger Distance	Fidelity	Distance	Left	"[0, Inf)"	2	4	-424.9601177	-411.5640933	0.0958	1.6645	2	0.177	3.4457	8.4633	0.01394038	0.01698057
Improved Square Root Cosine Similarity	Inner Product	Similarity	Both	"[0, 1]"	1	1	149.6096835	149.6096835	0	0.0079	0.1868	0	0.0079	0.1868	0.09039003	0.09039003
Inner Product Distance	Inner Product	Distance	Right	"(-Inf, 1]"	2	4	-156.7329823	-226.9580651	0.4113	0.9784	1	-4.2957	0.6087	1	0.03944832	0.02928963
Intersection Similarity	Intersection	Distance	Left	"[0, Inf)"	1	1	456.7065348	212.4556498	0	0.1835	0.9894	0	0.751	11.6982	0.01364378	0.03292303
