Sum_Metric_cnames,Max_Metric_cnames,Raw_Metric_cnames,Meta_cnames
Additive_Symmetric_Chi_Squared,Additive_Symmetric_Chi_Squared,Weighted_Cosine_Correlation,Compound_Name
"Avg_(L1,_L8)_Distance","Avg_(L1,_L8)_Distance",Spearman_Correlation,Peak_Index
Battacharya_Distance,Battacharya_Distance,Stein_Scott_Similarity,Spectral_Similarity_Score
Canberra_Distance,Canberra_Distance,Stein_Scott_Similarity_Nist,Similarity_Score
Canberra_Metric,Canberra_Metric,Pearson_Correlation,Retention_index_Ref
Chebyshev_Distance,Chebyshev_Distance,Kendall_Tau_Correlation,Truth.Annotation
Clark_Distance,Clark_Distance,DFT_Correlation,Retention_index
Cosine_Correlation,Cosine_Correlation,DWT_Correlation,Retention_Index_Score
DFT_Correlation,DFT_Correlation,Cosine_Correlation,Peak_Height
Dice_Similarity,Dice_Similarity,,Peak_Area
Divergence_Distance,Divergence_Distance,,Reason
DWT_Correlation,DWT_Correlation,,Retention_Time
Euclidean_Distance,Euclidean_Distance,,Retention_Time_Ref
Fidelity_Similarity,Fidelity_Similarity,,Sample_name
Generalized_Ochai_Index,Generalized_Ochai_Index,,
Gower_Distance,Gower_Distance,,
Harmonic_mean_Distance,Harmonic_mean_Distance,,
Hellinger_Distance,Hellinger_Distance,,
Improved_Square_Root_Cosine_Similarity,Improved_Square_Root_Cosine_Similarity,,
Intersection_Similarity,Intersection_Similarity,,
J_Divergence,Kendall_Tau_Correlation,,
Jensen_Differences_Distance,Kulczynski_1_Distance,,
Jensen_Shannon_Index,Kumar_Hassebrook_Similarity,,
K_Divergence,Kumar_Johnson_Divergence,,
Kendall_Tau_Correlation,Lorentzian_Distance,,
Kulczynski_1_Distance,Manhattan_Distance,,
Kullback_Leibler_Divergence,Matusita_Distance,,
Kumar_Hassebrook_Similarity,Minokowski_3_Distance,,
Kumar_Johnson_Divergence,Minokowski_4_Distance,,
Lorentzian_Distance,Motyka_Distance,,
Manhattan_Distance,Neyman_Chi_Squared_Distance,,
Matusita_Distance,Pearson_Chi_Squared_Distance,,
Minokowski_3_Distance,Pearson_Correlation,,
Minokowski_4_Distance,Probabilistic_symmetric_X2_Distance,,
Motyka_Distance,Soergel_Distance,,
Neyman_Chi_Squared_Distance,Sorensen_Distance,,
Pearson_Chi_Squared_Distance,Spearman_Correlation,,
Pearson_Correlation,Spectral_Contrast_Angle,,
Probabilistic_symmetric_X2_Distance,Square_Root_Cosine_Correlation,,
Soergel_Distance,Squared_Chi_Squared_Distance,,
Sorensen_Distance,Squared_chord_Distance,,
Spearman_Correlation,Squared_Euclidean_Distance,,
Spectral_Contrast_Angle,Stein_Scott_Similarity,,
Square_Root_Cosine_Correlation,Stein_Scott_Similarity_Nist,,
Squared_Chi_Squared_Distance,Symmetric_Chi_Squared_Distance,,
Squared_chord_Distance,Taneja_Divergence,,
Squared_Euclidean_Distance,VW1,,
Stein_Scott_Similarity,VW2,,
Stein_Scott_Similarity_Nist,VW3,,
Symmetric_Chi_Squared_Distance,VW4,,
Taneja_Divergence,VW5,,
Topsoe_Distance,VW6,,
VW1,Wave_Hedges_Distance,,
VW2,Weighted_Cosine_Correlation,,
VW3,,,
VW4,,,
VW5,,,
VW6,,,
Wave_Hedges_Distance,,,
Weighted_Cosine_Correlation,,,
